machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status
pi-i9-13900k	qd	control5	351	base1	1	0	0abc064f632dd6ff	1	128.89	128.812410	51	pdOPT	1.6883599050955794e+01	9.4	ok
pi-i9-13900k	qd	control5	351	base1	1	0	0abc064f632dd6ff	2	128.9	128.825475	51	pdOPT	1.6883599050955794e+01	9.4	ok
pi-i9-13900k	qd	control5	351	head1	1	0	0abc064f632dd6ff	1	127.2	127.124678	51	pdOPT	1.6883599050955794e+01	9.4	ok
pi-i9-13900k	qd	control5	351	head1	1	0	0abc064f632dd6ff	2	127.17	127.090827	51	pdOPT	1.6883599050955794e+01	9.4	ok
pi-i9-13900k	qd	control5	351	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	34.12	34.047082	51	pdOPT	1.6883599050955794e+01	9.7	ok
pi-i9-13900k	qd	control5	351	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	34.19	34.117468	51	pdOPT	1.6883599050955794e+01	9.7	ok
pi-i9-13900k	qd	control5	351	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	32.57	32.499258	51	pdOPT	1.6883599050955794e+01	9.7	ok
pi-i9-13900k	qd	control5	351	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	32.62	32.543394	51	pdOPT	1.6883599050955794e+01	9.7	ok
pi-i9-13900k	qd	control5	351	base24	24	0-31	0abc064f632dd6ff	1	27.44	27.367012	51	pdOPT	1.6883599050955794e+01	9.7	ok
pi-i9-13900k	qd	control5	351	base24	24	0-31	0abc064f632dd6ff	2	27.47	27.390635	51	pdOPT	1.6883599050955794e+01	9.7	ok
pi-i9-13900k	qd	control5	351	head24	24	0-31	0abc064f632dd6ff	1	25.92	25.847187	51	pdOPT	1.6883599050955794e+01	9.7	ok
pi-i9-13900k	qd	control5	351	head24	24	0-31	0abc064f632dd6ff	2	25.73	25.649036	51	pdOPT	1.6883599050955794e+01	9.7	ok
pi-i9-13900k	qd	gpp250-1	251	base1	1	0	0abc064f632dd6ff	1	304.75	304.680490	50	pFEAS	-1.5444916882934066e+01	31.8	ok
pi-i9-13900k	qd	gpp250-1	251	base1	1	0	0abc064f632dd6ff	2	304.75	304.679037	50	pFEAS	-1.5444916882934066e+01	31.8	ok
pi-i9-13900k	qd	gpp250-1	251	head1	1	0	0abc064f632dd6ff	1	341.64	341.573645	58	pFEAS	-1.5444916882934066e+01	31.8	ok
pi-i9-13900k	qd	gpp250-1	251	head1	1	0	0abc064f632dd6ff	2	341.16	341.087243	58	pFEAS	-1.5444916882934066e+01	31.8	ok
pi-i9-13900k	qd	gpp250-1	251	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	304.78	304.706283	50	pFEAS	-1.5444916882934066e+01	31.7	ok
pi-i9-13900k	qd	gpp250-1	251	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	304.79	304.720159	50	pFEAS	-1.5444916882934066e+01	31.7	ok
pi-i9-13900k	qd	gpp250-1	251	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	72.71	72.640707	58	pFEAS	-1.5444916882934066e+01	31.7	ok
pi-i9-13900k	qd	gpp250-1	251	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	72.72	72.652091	58	pFEAS	-1.5444916882934066e+01	31.7	ok
pi-i9-13900k	qd	gpp250-1	251	base24	24	0-31	0abc064f632dd6ff	1	304.76	304.689904	50	pFEAS	-1.5444916882934066e+01	31.7	ok
pi-i9-13900k	qd	gpp250-1	251	base24	24	0-31	0abc064f632dd6ff	2	304.78	304.704417	50	pFEAS	-1.5444916882934066e+01	31.7	ok
pi-i9-13900k	qd	gpp250-1	251	head24	24	0-31	0abc064f632dd6ff	1	59.51	59.441262	58	pFEAS	-1.5444916882934066e+01	31.6	ok
pi-i9-13900k	qd	gpp250-1	251	head24	24	0-31	0abc064f632dd6ff	2	59.62	59.550064	58	pFEAS	-1.5444916882934066e+01	31.7	ok
