machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	t_end	n_load_samples	foreign_mean	foreign_max	kernel_max	top_foreign	load_note
pi-i9-13900k	qd	control5	351	base1	1	0	0abc064f632dd6ff	1	128.89	128.812410	51	pdOPT	1.6883599050955794e+01	9.4	ok	1785969985.405	129	0.0022	0.0200	0.0200	dbus-daemon:0.01	ok
pi-i9-13900k	qd	control5	351	base1	1	0	0abc064f632dd6ff	2	128.9	128.825475	51	pdOPT	1.6883599050955794e+01	9.4	ok	1785970114.324	128	0.0018	0.0200	0.0200	gnome-shell:0.02	ok
pi-i9-13900k	qd	control5	351	head1	1	0	0abc064f632dd6ff	1	127.2	127.124678	51	pdOPT	1.6883599050955794e+01	9.4	ok	1785970368.843	127	0.0019	0.0100	0.0200	gnome-shell:0.01	ok
pi-i9-13900k	qd	control5	351	head1	1	0	0abc064f632dd6ff	2	127.17	127.090827	51	pdOPT	1.6883599050955794e+01	9.4	ok	1785970496.026	127	0.0021	0.0300	0.0200	dbus-daemon:0.01	ok
pi-i9-13900k	qd	control5	351	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	34.12	34.047082	51	pdOPT	1.6883599050955794e+01	9.7	ok	1785970564.258	34	0.0015	0.0100	0.0200	slurmctld:0.01	ok
pi-i9-13900k	qd	control5	351	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	34.19	34.117468	51	pdOPT	1.6883599050955794e+01	9.7	ok	1785970598.469	34	0.0035	0.0400	0.0200	NetworkManager:0.01	ok
pi-i9-13900k	qd	control5	351	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	32.57	32.499258	51	pdOPT	1.6883599050955794e+01	9.7	ok	1785970663.648	33	0.0018	0.0100	0.0200	gnome-shell:0.01	ok
pi-i9-13900k	qd	control5	351	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	32.62	32.543394	51	pdOPT	1.6883599050955794e+01	9.7	ok	1785970696.285	32	0.0022	0.0100	0.0200	gnome-shell:0.01	ok
pi-i9-13900k	qd	control5	351	base24	24	0-31	0abc064f632dd6ff	1	27.44	27.367012	51	pdOPT	1.6883599050955794e+01	9.7	ok	1785970751.234	28	0.0014	0.0100	0.0300	slurmctld:0.01	ok
pi-i9-13900k	qd	control5	351	base24	24	0-31	0abc064f632dd6ff	2	27.47	27.390635	51	pdOPT	1.6883599050955794e+01	9.7	ok	1785970778.718	27	0.0019	0.0200	0.0200	systemd-oomd:0.01	ok
pi-i9-13900k	qd	control5	351	head24	24	0-31	0abc064f632dd6ff	1	25.92	25.847187	51	pdOPT	1.6883599050955794e+01	9.7	ok	1785970830.547	26	0.0027	0.0300	0.0200	gnome-shell:0.02	ok
pi-i9-13900k	qd	control5	351	head24	24	0-31	0abc064f632dd6ff	2	25.73	25.649036	51	pdOPT	1.6883599050955794e+01	9.7	ok	1785970856.289	26	0.0019	0.0100	0.0200	slurmctld:0.01	ok
pi-i9-13900k	qd	gpp250-1	251	base1	1	0	0abc064f632dd6ff	1	304.75	304.680490	50	pFEAS	-1.5444916882934066e+01	31.8	ok	1785971465.763	304	0.0021	0.0400	0.0200	dbus-daemon:0.01	ok
pi-i9-13900k	qd	gpp250-1	251	base1	1	0	0abc064f632dd6ff	2	304.75	304.679037	50	pFEAS	-1.5444916882934066e+01	31.8	ok	1785971770.533	304	0.0020	0.0200	0.0300	avahi-daemon:0.01	ok
pi-i9-13900k	qd	gpp250-1	251	head1	1	0	0abc064f632dd6ff	1	341.64	341.573645	58	pFEAS	-1.5444916882934066e+01	31.8	ok	1785972453.830	340	0.0019	0.0200	0.0300	dbus-daemon:0.01	ok
pi-i9-13900k	qd	gpp250-1	251	head1	1	0	0abc064f632dd6ff	2	341.16	341.087243	58	pFEAS	-1.5444916882934066e+01	31.8	ok	1785972795.007	341	0.0022	0.0500	0.0300	gnome-shell:0.02	ok
pi-i9-13900k	qd	gpp250-1	251	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	304.78	304.706283	50	pFEAS	-1.5444916882934066e+01	31.7	ok	1785973404.587	303	0.0022	0.0400	0.0300	NetworkManager:0.02	ok
pi-i9-13900k	qd	gpp250-1	251	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	304.79	304.720159	50	pFEAS	-1.5444916882934066e+01	31.7	ok	1785973709.398	304	0.0019	0.0400	0.0300	slurmctld:0.02	ok
pi-i9-13900k	qd	gpp250-1	251	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	72.71	72.640707	58	pFEAS	-1.5444916882934066e+01	31.7	ok	1785973854.579	72	0.0025	0.0400	0.0300	gnome-shell:0.02	ok
pi-i9-13900k	qd	gpp250-1	251	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	72.72	72.652091	58	pFEAS	-1.5444916882934066e+01	31.7	ok	1785973927.322	72	0.0019	0.0200	0.0200	gnome-shell:0.01	ok
pi-i9-13900k	qd	gpp250-1	251	base24	24	0-31	0abc064f632dd6ff	1	304.76	304.689904	50	pFEAS	-1.5444916882934066e+01	31.7	ok	1785974536.879	304	0.0022	0.0200	0.0400	wpa_supplicant:0.01	ok
pi-i9-13900k	qd	gpp250-1	251	base24	24	0-31	0abc064f632dd6ff	2	304.78	304.704417	50	pFEAS	-1.5444916882934066e+01	31.7	ok	1785974841.673	304	0.0023	0.0500	0.0200	gsd-sharing:0.02	ok
pi-i9-13900k	qd	gpp250-1	251	head24	24	0-31	0abc064f632dd6ff	1	59.51	59.441262	58	pFEAS	-1.5444916882934066e+01	31.6	ok	1785974960.698	60	0.0027	0.0500	0.0200	dbus-daemon:0.01	ok
pi-i9-13900k	qd	gpp250-1	251	head24	24	0-31	0abc064f632dd6ff	2	59.62	59.550064	58	pFEAS	-1.5444916882934066e+01	31.7	ok	1785975020.339	59	0.0020	0.0100	0.0200	bash:0.01	ok
