# Raw-limb identity of Rgemm_NT_omp vs the serial NT body it replaced (review2 §8.4).
# Harness: patches/qd_nt_kernel_check.cpp (md5 be7c1230e11db52e89cee18f1096525e)
# Kernel object: fixes/sdpa-qd-omp/sdpa_qd-Rgemm_NT_omp.o (md5 8477013e5786ffcdae5ac7cddbb349db, fork tree 940181c+edits)
# Compiler: g++-16 (Homebrew GCC 16.1.0) 16.1.0; machine: mac-m1max; date: 2026-08-08
# 135 cases per thread count: m/n/k in {1..129} crossing the 512 work gate both ways,
# ld padding 0/3/7 with sentinel-checked pad rows, alpha in {1,-0.5,0}, beta in {0,1,0.37,-1},
# ~20% structural zeros in B. memcmp over every qd_real limb. 0 failures at 1, 4, 8 threads.
m	n	k	lda	ldb	ldc	alpha	beta	threads	gate_open	result
1	1	1	1	1	1	1.00	0.00	1	0	identical
1	1	5	1	1	1	1.00	0.00	1	0	identical
1	1	64	1	1	1	1.00	0.00	1	0	identical
1	3	1	8	10	8	1.00	0.37	1	0	identical
1	3	5	8	10	8	1.00	0.37	1	0	identical
1	3	64	8	10	8	1.00	0.37	1	0	identical
1	17	1	4	20	4	1.00	0.00	1	0	identical
1	17	5	4	20	4	1.00	0.00	1	0	identical
1	17	64	4	20	4	1.00	0.00	1	1	identical
1	64	1	1	64	1	1.00	0.37	1	0	identical
1	64	5	1	64	1	1.00	0.37	1	0	identical
1	64	64	1	64	1	1.00	0.37	1	1	identical
1	129	1	8	136	8	1.00	0.00	1	0	identical
1	129	5	8	136	8	1.00	0.00	1	1	identical
1	129	64	8	136	8	1.00	0.00	1	1	identical
2	1	1	5	4	5	-0.50	1.00	1	0	identical
2	1	5	5	4	5	-0.50	1.00	1	0	identical
2	1	64	5	4	5	-0.50	1.00	1	0	identical
2	3	1	2	3	2	-0.50	-1.00	1	0	identical
2	3	5	2	3	2	-0.50	-1.00	1	0	identical
2	3	64	2	3	2	-0.50	-1.00	1	0	identical
2	17	1	9	24	9	-0.50	1.00	1	0	identical
2	17	5	9	24	9	-0.50	1.00	1	0	identical
2	17	64	9	24	9	-0.50	1.00	1	1	identical
2	64	1	5	67	5	-0.50	-1.00	1	0	identical
2	64	5	5	67	5	-0.50	-1.00	1	1	identical
2	64	64	5	67	5	-0.50	-1.00	1	1	identical
2	129	1	2	129	2	-0.50	1.00	1	0	identical
2	129	5	2	129	2	-0.50	1.00	1	1	identical
2	129	64	2	129	2	-0.50	1.00	1	1	identical
3	1	1	10	8	10	0.00	0.37	1	0	identical
3	1	5	10	8	10	0.00	0.37	1	0	identical
3	1	64	10	8	10	0.00	0.37	1	0	identical
3	3	1	6	6	6	0.00	0.00	1	0	identical
3	3	5	6	6	6	0.00	0.00	1	0	identical
3	3	64	6	6	6	0.00	0.00	1	1	identical
3	17	1	3	17	3	0.00	0.37	1	0	identical
3	17	5	3	17	3	0.00	0.37	1	0	identical
3	17	64	3	17	3	0.00	0.37	1	1	identical
3	64	1	10	71	10	0.00	0.00	1	0	identical
