machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	1	0.64	0.632047	46	pdOPT	1.7784626717523405e+01	11.1	ok
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	2	0.60	0.591558	46	pdOPT	1.7784626717523405e+01	11.2	ok
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	3	0.45	0.443611	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	1	0.36	0.356031	46	pdOPT	1.7784626717523405e+01	11.2	ok
thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	2	0.36	0.357233	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	3	0.36	0.357084	46	pdOPT	1.7784626717523405e+01	11.2	ok
thanos-epyc7232p	qd	control1	21	head_t1	1	0	0abc064f632dd6ff	1	0.35	0.348804	46	pdOPT	1.7784626717523405e+01	11.2	ok
thanos-epyc7232p	qd	control1	21	head_t1	1	0	0abc064f632dd6ff	2	0.35	0.349251	46	pdOPT	1.7784626717523405e+01	11.2	ok
thanos-epyc7232p	qd	control1	21	head_t1	1	0	0abc064f632dd6ff	3	0.35	0.349040	46	pdOPT	1.7784626717523405e+01	11.2	ok
thanos-epyc7232p	qd	control1	21	head_t8	8	0-7	0abc064f632dd6ff	1	0.28	0.277564	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	control1	21	head_t8	8	0-7	0abc064f632dd6ff	2	0.28	0.276646	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	control1	21	head_t8	8	0-7	0abc064f632dd6ff	3	0.28	0.276424	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	gpp100	101	base_t1	1	0	0abc064f632dd6ff	1	62.89	62.854075	49	pFEAS	-4.4943550775891147e+01	11.4	ok
thanos-epyc7232p	qd	gpp100	101	base_t1	1	0	0abc064f632dd6ff	2	62.84	62.798930	49	pFEAS	-4.4943550775891147e+01	11.2	ok
thanos-epyc7232p	qd	gpp100	101	base_t1	1	0	0abc064f632dd6ff	3	62.86	62.821425	49	pFEAS	-4.4943550775891147e+01	11.2	ok
thanos-epyc7232p	qd	gpp100	101	base_t8	8	0-7	0abc064f632dd6ff	1	62.85	62.807478	49	pFEAS	-4.4943550775891147e+01	11.2	ok
thanos-epyc7232p	qd	gpp100	101	base_t8	8	0-7	0abc064f632dd6ff	2	62.82	62.775949	49	pFEAS	-4.4943550775891147e+01	11.2	ok
thanos-epyc7232p	qd	gpp100	101	base_t8	8	0-7	0abc064f632dd6ff	3	62.85	62.812217	49	pFEAS	-4.4943550775891147e+01	11.3	ok
thanos-epyc7232p	qd	gpp100	101	head_t1	1	0	0abc064f632dd6ff	1	60.81	60.774190	50	pFEAS	-4.4943550775891147e+01	11.3	ok
thanos-epyc7232p	qd	gpp100	101	head_t1	1	0	0abc064f632dd6ff	2	60.82	60.779755	50	pFEAS	-4.4943550775891147e+01	11.3	ok
thanos-epyc7232p	qd	gpp100	101	head_t1	1	0	0abc064f632dd6ff	3	60.87	60.829032	50	pFEAS	-4.4943550775891147e+01	11.4	ok
thanos-epyc7232p	qd	gpp100	101	head_t8	8	0-7	0abc064f632dd6ff	1	20.97	20.923282	50	pFEAS	-4.4943550775891147e+01	11.2	ok
thanos-epyc7232p	qd	gpp100	101	head_t8	8	0-7	0abc064f632dd6ff	2	20.88	20.800945	50	pFEAS	-4.4943550775891147e+01	11.3	ok
thanos-epyc7232p	qd	gpp100	101	head_t8	8	0-7	0abc064f632dd6ff	3	20.88	20.835219	50	pFEAS	-4.4943550775891147e+01	11.3	ok
thanos-epyc7232p	qd	theta1	104	base_t1	1	0	0abc064f632dd6ff	1	5.72	5.710355	43	pdOPT	2.3000000000000000e+01	11.3	ok
thanos-epyc7232p	qd	theta1	104	base_t1	1	0	0abc064f632dd6ff	2	5.74	5.728515	43	pdOPT	2.3000000000000000e+01	11.2	ok
thanos-epyc7232p	qd	theta1	104	base_t1	1	0	0abc064f632dd6ff	3	5.76	5.752228	43	pdOPT	2.3000000000000000e+01	11.3	ok
thanos-epyc7232p	qd	theta1	104	base_t8	8	0-7	0abc064f632dd6ff	1	5.56	5.542464	43	pdOPT	2.3000000000000000e+01	11.2	ok
thanos-epyc7232p	qd	theta1	104	base_t8	8	0-7	0abc064f632dd6ff	2	5.50	5.486855	43	pdOPT	2.3000000000000000e+01	11.4	ok
thanos-epyc7232p	qd	theta1	104	base_t8	8	0-7	0abc064f632dd6ff	3	5.49	5.473915	43	pdOPT	2.3000000000000000e+01	11.3	ok
thanos-epyc7232p	qd	theta1	104	head_t1	1	0	0abc064f632dd6ff	1	5.58	5.565911	43	pdOPT	2.3000000000000000e+01	11.3	ok
thanos-epyc7232p	qd	theta1	104	head_t1	1	0	0abc064f632dd6ff	2	5.53	5.521879	43	pdOPT	2.3000000000000000e+01	11.3	ok
thanos-epyc7232p	qd	theta1	104	head_t1	1	0	0abc064f632dd6ff	3	5.53	5.514007	43	pdOPT	2.3000000000000000e+01	11.4	ok
thanos-epyc7232p	qd	theta1	104	head_t8	8	0-7	0abc064f632dd6ff	1	3.40	3.390393	43	pdOPT	2.3000000000000000e+01	11.3	ok
thanos-epyc7232p	qd	theta1	104	head_t8	8	0-7	0abc064f632dd6ff	2	3.39	3.376644	43	pdOPT	2.3000000000000000e+01	11.3	ok
thanos-epyc7232p	qd	theta1	104	head_t8	8	0-7	0abc064f632dd6ff	3	3.40	3.392475	43	pdOPT	2.3000000000000000e+01	11.2	ok
thanos-epyc7232p	qd	truss5	208	base_t1	1	0	0abc064f632dd6ff	1	20.78	20.742278	48	pdOPT	-1.3263567797250604e+02	11.4	ok
thanos-epyc7232p	qd	truss5	208	base_t1	1	0	0abc064f632dd6ff	2	20.81	20.774462	48	pdOPT	-1.3263567797250604e+02	11.3	ok
thanos-epyc7232p	qd	truss5	208	base_t1	1	0	0abc064f632dd6ff	3	20.81	20.773525	48	pdOPT	-1.3263567797250604e+02	11.3	ok
thanos-epyc7232p	qd	truss5	208	base_t8	8	0-7	0abc064f632dd6ff	1	16.35	16.309126	48	pdOPT	-1.3263567797250604e+02	11.3	ok
thanos-epyc7232p	qd	truss5	208	base_t8	8	0-7	0abc064f632dd6ff	2	16.35	16.313097	48	pdOPT	-1.3263567797250604e+02	11.3	ok
thanos-epyc7232p	qd	truss5	208	base_t8	8	0-7	0abc064f632dd6ff	3	16.36	16.317883	48	pdOPT	-1.3263567797250604e+02	11.3	ok
thanos-epyc7232p	qd	truss5	208	head_t1	1	0	0abc064f632dd6ff	1	20.71	20.674730	48	pdOPT	-1.3263567797250604e+02	11.2	ok
