machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	1	0.36	0.355122	46	pdOPT	1.7784626717523405e+01	11.4	ok
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	2	0.36	0.354915	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	3	0.36	0.354999	46	pdOPT	1.7784626717523405e+01	11.2	ok
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	4	0.36	0.355645	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	5	0.36	0.355342	46	pdOPT	1.7784626717523405e+01	11.4	ok
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	6	0.36	0.355854	46	pdOPT	1.7784626717523405e+01	11.2	ok
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	7	0.36	0.355331	46	pdOPT	1.7784626717523405e+01	11.2	ok
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	8	0.36	0.355431	46	pdOPT	1.7784626717523405e+01	11.4	ok
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	9	0.36	0.355384	46	pdOPT	1.7784626717523405e+01	11.4	ok
thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	10	0.36	0.358273	46	pdOPT	1.7784626717523405e+01	11.2	ok
thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	1	0.36	0.355546	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	2	0.36	0.355289	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	3	0.36	0.356882	46	pdOPT	1.7784626717523405e+01	11.1	ok
thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	4	0.38	0.370342	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	5	0.37	0.361578	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	6	0.37	0.361652	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	7	0.37	0.364596	46	pdOPT	1.7784626717523405e+01	11.3	ok
thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	8	0.37	0.366273	46	pdOPT	1.7784626717523405e+01	11.4	ok
thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	9	0.37	0.362962	46	pdOPT	1.7784626717523405e+01	11.3	ok
