t_end	machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	n_load_samples	busy_sib_mean	busy_sib_max	busy_bench_mean	foreign_mean	foreign_max	threads_max	load_note
1785971782.802	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	1	0.36	0.355122	46	pdOPT	1.7784626717523405e+01	11.4	ok	1	0.370	0.370	1.442	1.923	1.923	0	nearest
1785971783.230	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	2	0.36	0.354915	46	pdOPT	1.7784626717523405e+01	11.3	ok	1	0.111	0.111	1.817	0.927	0.927	1	nearest
1785971783.656	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	3	0.36	0.354999	46	pdOPT	1.7784626717523405e+01	11.2	ok	1	0.148	0.148	1.329	1.514	1.514	0	ok
1785971784.083	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	4	0.36	0.355645	46	pdOPT	1.7784626717523405e+01	11.3	ok	1	0.331	0.331	1.288	1.436	1.436	1	nearest
1785971784.508	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	5	0.36	0.355342	46	pdOPT	1.7784626717523405e+01	11.4	ok	1	0.444	0.444	1.258	0.703	0.703	1	ok
1785971784.936	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	6	0.36	0.355854	46	pdOPT	1.7784626717523405e+01	11.2	ok	1	0.295	0.295	1.620	1.804	1.804	1	nearest
1785971785.363	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	7	0.36	0.355331	46	pdOPT	1.7784626717523405e+01	11.2	ok	1	0.371	0.371	1.742	1.001	1.001	1	nearest
1785971785.791	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	8	0.36	0.355431	46	pdOPT	1.7784626717523405e+01	11.4	ok	1	0.486	0.486	1.383	1.832	1.832	0	nearest
1785971786.219	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	9	0.36	0.355384	46	pdOPT	1.7784626717523405e+01	11.4	ok	1	0.259	0.259	1.703	1.703	1.703	1	nearest
1785971786.649	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	10	0.36	0.358273	46	pdOPT	1.7784626717523405e+01	11.2	ok	1	0.296	0.296	1.185	0.444	0.444	1	ok
