t_end	machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	n_load_samples	busy_sib_mean	busy_sib_max	busy_bench_mean	foreign_mean	foreign_max	threads_max	load_note
1785967104.196	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	1	0.64	0.632047	46	pdOPT	1.7784626717523405e+01	11.1	ok	1	0.212	0.212	0.927	0.348	0.348	1	nearest
1785967104.880	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	2	0.60	0.591558	46	pdOPT	1.7784626717523405e+01	11.2	ok	1	0.192	0.192	1.017	1.036	1.036	1	nearest
1785967105.406	thanos-epyc7232p	qd	control1	21	base_t1	1	0	0abc064f632dd6ff	3	0.45	0.443611	46	pdOPT	1.7784626717523405e+01	11.3	ok	1	0.307	0.307	1.056	1.190	1.190	1	nearest
1785967106.229	thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	1	0.36	0.356031	46	pdOPT	1.7784626717523405e+01	11.2	ok	1	0.595	0.595	0.499	0.710	0.710	1	nearest
1785967106.685	thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	2	0.36	0.357233	46	pdOPT	1.7784626717523405e+01	11.3	ok	1	0.173	0.173	1.074	0.729	0.729	1	nearest
1785967107.132	thanos-epyc7232p	qd	control1	21	base_t8	8	0-7	0abc064f632dd6ff	3	0.36	0.357084	46	pdOPT	1.7784626717523405e+01	11.2	ok	1	0.211	0.211	1.132	0.729	0.729	1	nearest
1785967107.911	thanos-epyc7232p	qd	control1	21	head_t1	1	0	0abc064f632dd6ff	1	0.35	0.348804	46	pdOPT	1.7784626717523405e+01	11.2	ok	1	0.115	0.115	1.248	0.960	0.960	1	nearest
1785967108.332	thanos-epyc7232p	qd	control1	21	head_t1	1	0	0abc064f632dd6ff	2	0.35	0.349251	46	pdOPT	1.7784626717523405e+01	11.2	ok	1	0.115	0.115	1.248	0.960	0.960	1	nearest
1785967108.751	thanos-epyc7232p	qd	control1	21	head_t1	1	0	0abc064f632dd6ff	3	0.35	0.349040	46	pdOPT	1.7784626717523405e+01	11.2	ok	1	0.154	0.154	1.113	0.768	0.768	1	nearest
1785967109.407	thanos-epyc7232p	qd	control1	21	head_t8	8	0-7	0abc064f632dd6ff	1	0.28	0.277564	46	pdOPT	1.7784626717523405e+01	11.3	ok	1	0.212	0.212	5.620	4.831	4.831	8	nearest
1785967109.772	thanos-epyc7232p	qd	control1	21	head_t8	8	0-7	0abc064f632dd6ff	2	0.28	0.276646	46	pdOPT	1.7784626717523405e+01	11.3	ok	1	0.173	0.173	6.814	3.619	3.619	8	nearest
1785967110.137	thanos-epyc7232p	qd	control1	21	head_t8	8	0-7	0abc064f632dd6ff	3	0.28	0.276424	46	pdOPT	1.7784626717523405e+01	11.3	ok	1	0.155	0.155	5.582	5.775	5.775	1	nearest
