machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
mac-m1max	qd	control1	21	pristine	1	-	0abc064f632dd6ff	1	0.23	0.200000	46	1.7784626717523405e+01	8.5	ok
mac-m1max	qd	control1	21	pristine	1	-	0abc064f632dd6ff	2	0.23	0.210000	46	1.7784626717523405e+01	8.5	ok
mac-m1max	qd	control1	21	pristine	1	-	0abc064f632dd6ff	3	0.24	0.210000	46	1.7784626717523405e+01	8.5	ok
mac-m1max	qd	control1	21	fork1	1	-	0abc064f632dd6ff	1	0.23	0.207292	46	1.7784626717523405e+01	8.5	ok
mac-m1max	qd	control1	21	fork1	1	-	0abc064f632dd6ff	2	0.23	0.208511	46	1.7784626717523405e+01	8.5	ok
mac-m1max	qd	control1	21	fork1	1	-	0abc064f632dd6ff	3	0.23	0.206832	46	1.7784626717523405e+01	8.5	ok
mac-m1max	qd	control1	21	fork8	8	-	0abc064f632dd6ff	1	0.23	0.206699	46	1.7784626717523405e+01	8.5	ok
mac-m1max	qd	control1	21	fork8	8	-	0abc064f632dd6ff	2	0.23	0.210550	46	1.7784626717523405e+01	8.5	ok
mac-m1max	qd	control1	21	fork8	8	-	0abc064f632dd6ff	3	0.23	0.206579	46	1.7784626717523405e+01	8.5	ok
mac-m1max	qd	theta1	104	pristine	1	-	0abc064f632dd6ff	1	2.34	2.300000	43	2.3000000000000000e+01	8.5	ok
mac-m1max	qd	theta1	104	pristine	1	-	0abc064f632dd6ff	2	2.35	2.310000	43	2.3000000000000000e+01	8.5	ok
mac-m1max	qd	theta1	104	pristine	1	-	0abc064f632dd6ff	3	2.36	2.320000	43	2.3000000000000000e+01	8.5	ok
mac-m1max	qd	theta1	104	fork1	1	-	0abc064f632dd6ff	1	2.33	2.302047	43	2.3000000000000000e+01	8.5	ok
mac-m1max	qd	theta1	104	fork1	1	-	0abc064f632dd6ff	2	2.33	2.306910	43	2.3000000000000000e+01	8.5	ok
mac-m1max	qd	theta1	104	fork1	1	-	0abc064f632dd6ff	3	2.33	2.301114	43	2.3000000000000000e+01	8.5	ok
mac-m1max	qd	theta1	104	fork8	8	-	0abc064f632dd6ff	1	2.22	2.196608	43	2.3000000000000000e+01	8.5	ok
