machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
pi-i9-13900k	qd	control1	21	pristine	1	0	0abc064f632dd6ff	1	0.11	0.110000	46	1.7784626717523405e+01	2.4	ok
pi-i9-13900k	qd	control1	21	pristine	1	0	0abc064f632dd6ff	2	0.11	0.110000	46	1.7784626717523405e+01	2.4	ok
pi-i9-13900k	qd	control1	21	pristine	1	0	0abc064f632dd6ff	3	0.11	0.110000	46	1.7784626717523405e+01	2.4	ok
pi-i9-13900k	qd	control1	21	fork1	1	0	0abc064f632dd6ff	1	0.11	0.117047	46	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	fork1	1	0	0abc064f632dd6ff	2	0.11	0.117225	46	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	fork1	1	0	0abc064f632dd6ff	3	0.11	0.117094	46	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	0.11	0.117139	46	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	0.11	0.117059	46	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	0.11	0.117106	46	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	0.11	0.117099	46	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	2	0.11	0.117022	46	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	3	0.11	0.117065	46	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	theta1	104	pristine	1	0	0abc064f632dd6ff	1	1.8	1.800000	43	2.3000000000000000e+01	3.9	ok
pi-i9-13900k	qd	theta1	104	pristine	1	0	0abc064f632dd6ff	2	1.8	1.800000	43	2.3000000000000000e+01	3.9	ok
pi-i9-13900k	qd	theta1	104	pristine	1	0	0abc064f632dd6ff	3	1.8	1.800000	43	2.3000000000000000e+01	3.9	ok
pi-i9-13900k	qd	theta1	104	fork1	1	0	0abc064f632dd6ff	1	1.8	1.800986	43	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	fork1	1	0	0abc064f632dd6ff	2	1.8	1.800651	43	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	fork1	1	0	0abc064f632dd6ff	3	1.8	1.800550	43	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	1.71	1.707604	43	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	1.71	1.708329	43	2.3000000000000000e+01	4.4	ok
pi-i9-13900k	qd	theta1	104	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	1.71	1.708410	43	2.3000000000000000e+01	4.4	ok
pi-i9-13900k	qd	theta1	104	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	1.71	1.712862	43	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	2	1.71	1.712646	43	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	3	1.71	1.712566	43	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	truss5	208	pristine	1	0	0abc064f632dd6ff	1	6.88	6.820000	48	-1.3263567797250604e+02	5.7	ok
pi-i9-13900k	qd	truss5	208	pristine	1	0	0abc064f632dd6ff	2	6.89	6.820000	48	-1.3263567797250604e+02	5.7	ok
pi-i9-13900k	qd	truss5	208	pristine	1	0	0abc064f632dd6ff	3	6.9	6.820000	48	-1.3263567797250604e+02	5.7	ok
pi-i9-13900k	qd	truss5	208	fork1	1	0	0abc064f632dd6ff	1	6.82	6.814949	48	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	fork1	1	0	0abc064f632dd6ff	2	6.82	6.815665	48	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	fork1	1	0	0abc064f632dd6ff	3	6.84	6.832422	48	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	4.93	4.919938	48	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	4.93	4.920438	48	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	4.93	4.917906	48	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	4.86	4.847532	48	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	2	4.84	4.828151	48	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	3	4.84	4.827290	48	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	gpp100	101	pristine	1	0	0abc064f632dd6ff	1	19.63	19.620000	49	-4.4943550775891147e+01	7.2	ok
pi-i9-13900k	qd	gpp100	101	pristine	1	0	0abc064f632dd6ff	2	19.64	19.610000	49	-4.4943550775891147e+01	7.2	ok
pi-i9-13900k	qd	gpp100	101	pristine	1	0	0abc064f632dd6ff	3	19.64	19.610000	49	-4.4943550775891147e+01	7.2	ok
pi-i9-13900k	qd	gpp100	101	fork1	1	0	0abc064f632dd6ff	1	19.62	19.614790	49	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	fork1	1	0	0abc064f632dd6ff	2	19.64	19.633729	49	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	fork1	1	0	0abc064f632dd6ff	3	19.64	19.636219	49	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	19.64	19.632129	49	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	19.65	19.638281	49	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	19.64	19.632960	49	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	19.62	19.613292	49	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	2	19.64	19.636503	49	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	3	19.64	19.636693	49	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	arch0	174	pristine	1	0	0abc064f632dd6ff	1	84.59	84.520000	53	5.6651727321592960e-01	13.9	ok
pi-i9-13900k	qd	arch0	174	pristine	1	0	0abc064f632dd6ff	2	84.61	84.520000	53	5.6651727321592960e-01	13.9	ok
pi-i9-13900k	qd	arch0	174	pristine	1	0	0abc064f632dd6ff	3	84.58	84.530000	53	5.6651727321592960e-01	13.9	ok
pi-i9-13900k	qd	arch0	174	fork1	1	0	0abc064f632dd6ff	1	84.54	84.522087	53	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	fork1	1	0	0abc064f632dd6ff	2	84.53	84.515957	53	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	fork1	1	0	0abc064f632dd6ff	3	84.49	84.473106	53	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	49.79	49.779285	53	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	49.81	49.800345	53	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	fork8P	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	49.79	49.775095	53	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	fork24	24	0,2,4,6,8,10,12,14,16-31	0abc064f632dd6ff	1	47.8	47.787720	53	5.6651727321592960e-01	14.2	ok
