machine	backend	problem	m	config	threads	cpuset	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
thanos-epyc7232p	qd	control1	21	pristine	1	0	1	0.65	0.640000	46	1.7784626717523405e+01	11.8	ok
thanos-epyc7232p	qd	control1	21	pristine	1	0	2	0.56	0.540000	46	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	qd	control1	21	pristine	1	0	3	0.40	0.390000	46	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	qd	control1	21	hardened1	1	0	1	0.37	0.361975	46	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	qd	control1	21	hardened1	1	0	2	0.36	0.359872	46	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	qd	control1	21	hardened1	1	0	3	0.36	0.356900	46	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	qd	control1	21	hardened4	4	0-3	1	0.36	0.357408	46	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	qd	control1	21	hardened4	4	0-3	2	0.36	0.356372	46	1.7784626717523405e+01	11.8	ok
thanos-epyc7232p	qd	control1	21	hardened4	4	0-3	3	0.36	0.356810	46	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	qd	control1	21	hardened8	8	0-7	1	0.37	0.363142	46	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	qd	control1	21	hardened8	8	0-7	2	0.37	0.365614	46	1.7784626717523405e+01	11.7	ok
thanos-epyc7232p	qd	control1	21	hardened8	8	0-7	3	0.36	0.360560	46	1.7784626717523405e+01	11.6	ok
thanos-epyc7232p	qd	theta1	104	pristine	1	0	1	5.82	5.770000	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	qd	theta1	104	pristine	1	0	2	5.78	5.750000	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	qd	theta1	104	pristine	1	0	3	5.80	5.770000	43	2.3000000000000000e+01	11.6	ok
thanos-epyc7232p	qd	theta1	104	hardened1	1	0	1	5.81	5.799719	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	qd	theta1	104	hardened1	1	0	2	5.82	5.808307	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	qd	theta1	104	hardened1	1	0	3	5.78	5.769879	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	qd	theta1	104	hardened4	4	0-3	1	5.57	5.561011	43	2.3000000000000000e+01	11.6	ok
thanos-epyc7232p	qd	theta1	104	hardened4	4	0-3	2	5.57	5.560876	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	qd	theta1	104	hardened4	4	0-3	3	5.56	5.543529	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	qd	theta1	104	hardened8	8	0-7	1	5.53	5.521337	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	qd	theta1	104	hardened8	8	0-7	2	5.54	5.529753	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	qd	theta1	104	hardened8	8	0-7	3	5.60	5.590881	43	2.3000000000000000e+01	11.7	ok
thanos-epyc7232p	qd	truss5	208	pristine	1	0	1	21.23	20.890000	48	-1.3263567797250604e+02	11.7	ok
thanos-epyc7232p	qd	truss5	208	pristine	1	0	2	21.30	20.940000	48	-1.3263567797250604e+02	11.7	ok
thanos-epyc7232p	qd	truss5	208	pristine	1	0	3	21.27	20.890000	48	-1.3263567797250604e+02	11.6	ok
thanos-epyc7232p	qd	truss5	208	hardened1	1	0	1	20.96	20.919569	48	-1.3263567797250604e+02	11.7	ok
thanos-epyc7232p	qd	truss5	208	hardened1	1	0	2	20.99	20.951578	48	-1.3263567797250604e+02	11.7	ok
thanos-epyc7232p	qd	truss5	208	hardened1	1	0	3	21.00	20.956974	48	-1.3263567797250604e+02	11.8	ok
thanos-epyc7232p	qd	truss5	208	hardened4	4	0-3	1	17.48	17.442012	48	-1.3263567797250604e+02	11.7	ok
thanos-epyc7232p	qd	truss5	208	hardened4	4	0-3	2	17.52	17.484788	48	-1.3263567797250604e+02	11.8	ok
