machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status
pi-i9-13900k	qd	control1	21	base1	1	0	0abc064f632dd6ff	1	0.12	0.121137	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	base1	1	0	0abc064f632dd6ff	2	0.12	0.121227	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	base1	1	0	0abc064f632dd6ff	3	0.12	0.121099	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	head1	1	0	0abc064f632dd6ff	1	0.12	0.120411	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	head1	1	0	0abc064f632dd6ff	2	0.12	0.120489	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	head1	1	0	0abc064f632dd6ff	3	0.12	0.120419	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	0.12	0.121336	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	0.12	0.121114	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	0.12	0.121155	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	0.08	0.086609	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	0.08	0.086727	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	0.08	0.086943	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	base24	24	0-31	0abc064f632dd6ff	1	0.12	0.121194	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	base24	24	0-31	0abc064f632dd6ff	2	0.12	0.121151	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	base24	24	0-31	0abc064f632dd6ff	3	0.12	0.121702	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	head24	24	0-31	0abc064f632dd6ff	1	0.08	0.086928	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	head24	24	0-31	0abc064f632dd6ff	2	0.08	0.086958	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	control1	21	head24	24	0-31	0abc064f632dd6ff	3	0.08	0.086869	46	pdOPT	1.7784626717523405e+01	2.7	ok
pi-i9-13900k	qd	gpp100	101	base1	1	0	0abc064f632dd6ff	1	23.48	23.470409	57	pFEAS	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	base1	1	0	0abc064f632dd6ff	2	23.51	23.499285	57	pFEAS	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	base1	1	0	0abc064f632dd6ff	3	23.48	23.473455	57	pFEAS	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	head1	1	0	0abc064f632dd6ff	1	25.49	25.482072	64	pFEAS	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	head1	1	0	0abc064f632dd6ff	2	25.47	25.465285	64	pFEAS	-4.4943550775891147e+01	7.4	ok
pi-i9-13900k	qd	gpp100	101	head1	1	0	0abc064f632dd6ff	3	25.53	25.517665	64	pFEAS	-4.4943550775891147e+01	7.4	ok
