machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status	t_end	n_load_samples	foreign_mean	foreign_max	kernel_max	top_foreign	load_note
pi-i9-13900k	qd	control1	21	base1	1	0	0abc064f632dd6ff	1	0.12	0.121137	46	pdOPT	1.7784626717523405e+01	2.7	ok	1785967387.440	1	0.0000	0.0000	0.0100	-:0.00	nearest
pi-i9-13900k	qd	control1	21	base1	1	0	0abc064f632dd6ff	2	0.12	0.121227	46	pdOPT	1.7784626717523405e+01	2.7	ok	1785967387.574	1	0.0000	0.0000	0.0100	-:0.00	nearest
pi-i9-13900k	qd	control1	21	base1	1	0	0abc064f632dd6ff	3	0.12	0.121099	46	pdOPT	1.7784626717523405e+01	2.7	ok	1785967387.707	1	0.0000	0.0000	0.0100	-:0.00	nearest
pi-i9-13900k	qd	control1	21	head1	1	0	0abc064f632dd6ff	1	0.12	0.120411	46	pdOPT	1.7784626717523405e+01	2.7	ok	1785967387.964	1	0.0000	0.0000	0.0100	-:0.00	nearest
pi-i9-13900k	qd	control1	21	head1	1	0	0abc064f632dd6ff	2	0.12	0.120489	46	pdOPT	1.7784626717523405e+01	2.7	ok	1785967388.098	1	0.0000	0.0000	0.0100	-:0.00	nearest
pi-i9-13900k	qd	control1	21	head1	1	0	0abc064f632dd6ff	3	0.12	0.120419	46	pdOPT	1.7784626717523405e+01	2.7	ok	1785967388.230	1	0.0000	0.0000	0.0100	-:0.00	ok
pi-i9-13900k	qd	control1	21	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	0.12	0.121336	46	pdOPT	1.7784626717523405e+01	2.7	ok	1785967388.490	1	0.0000	0.0000	0.0100	-:0.00	nearest
pi-i9-13900k	qd	control1	21	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	0.12	0.121114	46	pdOPT	1.7784626717523405e+01	2.7	ok	1785967388.625	1	0.0000	0.0000	0.0100	-:0.00	nearest
pi-i9-13900k	qd	control1	21	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	0.12	0.121155	46	pdOPT	1.7784626717523405e+01	2.7	ok	1785967388.759	1	0.0000	0.0000	0.0000	-:0.00	nearest
pi-i9-13900k	qd	control1	21	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	0.08	0.086609	46	pdOPT	1.7784626717523405e+01	2.7	ok	1785967388.949	1	0.0000	0.0000	0.0000	-:0.00	nearest
